Commodity,Regulation Type,Regulation Name,Organizing Body,Year,Description,Number of regulations
3Ts,Mandatory Legal Frameworks,ICGLR Regional Certification Mechanism,International Conference on the Great Lakes Region (ICGLR),2011,RCM provides for sustainable conflict-free mineral chains in and between ICGLR Member States through: (1) Mine Site Inspection and Certification; (2) Mineral Chain of Custody (CoC) Tracking; (3) Mineral Export and Certification; (4) Mineral Tracking Database; (5) Third Party Audits (TPA) and (6) the Independent Mineral Chain Auditor (IMCA).,9
3Ts,Mandatory Legal Frameworks,EU Conflict Minerals Regulation,European Union,2021,"Increase supply chain transparency and ensure the responsible sourcing of tin, tantalum, tungsten and gold, largely mined in places that suffer from armed conflict and where human rights violations are widespread. ",9
3Ts,Mandatory Legal Frameworks,"Dodd-Franck Act, Section 1502",United States,2010,Prevents Securities and Exchange Commission (SEC) reporting companies to finance conflicts or armed groups in the DRC. ,9
3Ts,Guidelines,OECD Due Diligence Guidance for Responsible Supply Chains of Minerals from Conflict-Affected and High-Risk Areas,Organisation for Economic Co-operation and Development (OECD),2011,"The Guidance provides a 5-step framework to identify, (2) assess and (3) mitigate human rights risks, as well as recommendations for (4) third party auditing and (5) reporting.",9
3Ts,Guidelines,Chinese Due Diligence Guidelines for Responsible mineral Supply Chains,"China Chamber of Commerce of Metals, Minerals and Chemicals Importers & Exporters (CCCMC)",2015,"The guidelines aligns with the OECD due-diligence guidance. Thy should provide support to companies engaged at any point in the supply chain of minerals to identify, prevent, and mitigate the risks of directly or indirectly contributing to conflict, serious human rights abuse, and risks of serious misconduct.",9
3Ts,Certification Schemes,Responsible Minerals Assurance Process (RMAP),Responsible Mineral Initiative,2010/2017,"Formerly known as Conflict-Free Smelter Program. The RMAP helps companies make informed choices about responsibly sourced minerals in their supply chains by providing assurance to its accredited smelters and refiners' members. It focuses on a ""pinch point"" and validates smelters' company level management processes for responsible mineral procurement through third third-party assessment of the RMAP standards. The standards implement the OECD guidance, the EU regulation and the Dodd-Franck act.",9
3Ts,Certification Schemes,Certified Trading Chains (CTC),Bundesanstalt für Geowissenschaften und Rohstoffe (BGR) and ICGLR,2011,"The CTC scheme is the certification instrument of the ICGLR Regional Certification Mechanism (RCM). It implements the OECD guidance and the Dodd-Franck act to the specific challenges pertaining to the ASM sector in the Great Lakes Region. 5 principles: Traceability and Transparency ,Labor and Working Conditions, Security, Community Development, Environmental protection.",9
3Ts,Traceability Providers,International Tin Supply Chain Initiative (ITSCI standards),International Tin Association,2010,"ITSCI standards implement the OECD guidance and other regulations (Dodd-Franck act, ICLGR) towards fulfilling the due-dilligence and audit requirement of RMAP accredited buyers.",9
3Ts,Traceability Providers,Better Mining (BMP) and Better Sourcing (BSP) programmes,RCS Global,2014,"BMP provides artisanal and small-scale mining (ASM) supply chain specific digital risk and impact data packages on a subscription basis to downstream companies and consumer brands needing due-dilligence. BSP concerns Upstream Data product, it is recognised by RMI RMAP assurance through which certification is issued along the OECD guidance, EU regulation, and Dodd-Franck act  ",9
Aluminum,Certification Schemes,ASI CoC certification,Aluminium Stewarship Initiative,2014,"ASI’s standards are voluntary and apply to all stages of aluminium production and transformation, specifically: bauxite mining, alumina refining, primary aluminium production, semi-fabrication (rolling, extrusion, forging and foundry), material conversion, and refining and re-melting of recycled scrap. The scope of CoC Certification is defined by the Entity seeking Certification and includes all Facilities (and where applicable, Outsourcing Contractors) used for the processing, accounting, shipping and/or receiving of CoC Material. ",1
