Regulation_Name,Organizing_Body,Year,categories,Regulation_Type,Requirements,Description,
ICGLR Regional Certification Mechanism,International Conference on the Great Lakes Region (ICGLR),2011,"3Ts, Gold",Mandatory Legal Frameworks,Certification granted upon (1) Mine Site Inspection and Certification; (2) Mineral Chain of Custody (CoC) Tracking; (3) Mineral Export and Certification; (4) Mineral Tracking Database; (5) Third Party Audits (TPA) and (6) the Independent Mineral Chain Auditor (IMCA).,RCM provides for sustainable conflict-free mineral chains in and between ICGLR Member States through: (1) Mine Site Inspection and Certification; (2) Mineral Chain of Custody (CoC) Tracking; (3) Mineral Export and Certification; (4) Mineral Tracking Database; (5) Third Party Audits (TPA) and (6) the Independent Mineral Chain Auditor (IMCA).,
Kimberley Process Certification Scheme,Kimberley Process (United Nations),2003,Diamonds,Mandatory Legal Frameworks,"Members must 1) establish national legislation, institutions and import/export controls, 2) commit to transparent practices and to the exchange of data, 3) trade only with other members, 4) certify shipments as conflict-free.","KPC is a multilateral trade agreement comprising of 82 countries to eliminate the trade in so-called conflict diamonds. Members must 1) establish national legislation, institutions and import/export controls, 2) commit to transparent practices and to the exchange of data, 3) trade only with other members, 4) certify shipments as conflict-free.",
EU Conflict Minerals Regulation,European Union,2021,"3Ts, Gold",Mandatory Legal Frameworks,"Union importers and smelters of tin, tungsten, tantalum and gold in “conflict-affected” or “high-risk” countries or areas must conduct due-diligence after the OECD 5-step framework.","Increase supply chain transparency and ensure the responsible sourcing of tin, tantalum, tungsten and gold, largely mined in places that suffer from armed conflict and where human rights violations are widespread. ",
"Dodd-Franck Act, Section 1502",United States,2010,"3Ts, Gold",Mandatory Legal Frameworks,"SEC companies must disclose whether their products contain minerals from the Democratic Republic of the Congo, or one of its neighbouring countries, conduct due diligence, and provide a Conflict Minerals Report describing the due diligence and the source of the minerals.",Prevents Securities and Exchange Commission (SEC) reporting companies to finance conflicts or armed groups in the DRC. ,
OECD Due Diligence Guidance for Responsible Supply Chains of Minerals from Conflict-Affected and High-Risk Areas,Organisation for Economic Co-operation and Development (OECD),2011,"3Ts, Gold",Guidelines,"Union importers and smelters of tin, tungsten, tantalum and gold in “conflict-affected” or “high-risk” countries or areas must conduct due-diligence after the OECD 5-step framework.","The Guidance provides a 5-step framework to identify, (2) assess and (3) mitigate human rights risks, as well as recommendations for (4) third party auditing and (5) reporting.",
Chinese Due Diligence Guidelines for Responsible mineral Supply Chains,"China Chamber of Commerce of Metals, Minerals and Chemicals Importers & Exporters (CCCMC)",2015,"3Ts, Gold",Guidelines,,"The guidelines aligns with the OECD due-diligence guidance. Thy should provide support to companies engaged at any point in the supply chain of minerals to identify, prevent, and mitigate the risks of directly or indirectly contributing to conflict, serious human rights abuse, and risks of serious misconduct.",
Voluntary Principles on Security and Human Rights,United Nations,2000,Any,Guidelines,,"The Voluntary Principles promotes the implementation of a set of principles that guide oil, gas, and mining companies on providing security for their operations in a manner that respects human rights, through comprehensive human rights risk assessment in their engagement with public and private security providers.",
CIBJO Responsible Sourcing Guidance,World Jewellery Confederation (CIBJO),2019,Diamonds,Guidelines,,"The guidance standardizes how jewellery and gemstone firms should implement supply-chain due diligence. It follows the framework of the OECD Guidance, the Kimberley Process Certification Scheme and requires compliance to the World Diamond Council System of Warranties Guidelines for diamonds (i.e. extension of KPC compliance to polished diamonds).",
GRI Mining and Metal Supplement Sustainability Reporting Guidelines,Global Reporting Initiative,2011,Any,Guidelines,,"The guidelines are a sector-specific guidance incorporating the Global Reporting Initiative (GRI), which provides reporting principles, standard disclosures, and implementation guidance for creating sustainability reports.",
RMI's Blockchain Guidelines,Responsible Minerals Initiative,2018,Any,Guidelines,,"The guidelines apply to any mineral or metal supply chain with a goal to define the terms, concepts and fundamental data attributes required to identify supply chain actors that participate in a blockchain-based solution, with a focus on principles for interoperability between different chain-of-custody solutions.",
Responsible Exploration Toolkits,Prospectors & Developers Association of Canada,2009,Any,Guidelines,,"The toolkit aims to provide exploration firms a comprehensive and practical framework to cover issues and establish due diligence concerning social responsibility, environmental stewardship and health and safety in the exploration stage of mineral extraction worldwide.",
ICMM Mining Principles,International Council on Mining and Metals (ICMM),2003,Any,Voluntary Standards,"Members must go through third-party assurance to assess and validate their progress towards the principle every 3 years, and publicly report on progress each year.","The principles serve as a best-practice framework comprising 10 core principles for sustainable development in the mining and metals industry. Adherence to and implementation of the principles are a requirement for ICMM membership. Members are must go through third-party assurance to assess and validate their progress towards the principle every 3 years, and publicly report on progress each year.",
EITI standard,Extractive Industries Transparency Initiative,2009,Any,Voluntary Standards,"EITI signatory countries must adhere to the EITI principles and work towards their implementation which is assessed by the EITI secretariat as 1) satisfactory, 2) meaningful, or 3) inadequate progress, in which case membership is suspended.","The standard works as a framework for signatory countries to improve the governance of oil, gas and mineral resources. It builds upon a series of disclosure requirements regarding stakeholders' engagement, contracts and licenses' allocation, production and exports, revenue collection and allocation, as well as social and economic spending. EITI signatories must adhere to the EITI principles and work towards their implementation which is assessed by the EITI secretariat.",
International Finance Corporation Performance Standards/EHS,World Bank,2006,Any,Voluntary Standards,"IFC clients must provide an Annual Monitoring Report on their progress in meeting the standards, which are assessed and monitored by IFC.","These standards are designed for IFC clients to avoid, mitigate and manage risks and impacts as a way of doing business in a sustainable way, and to develop their overall environmental and social management through the Standards and IFC advisory support.",
Towards Sustainable Mining (TSM),Mining Association of Canada,2004,Any,Voluntary Standards,"Members are evaluated and independently validated, and must annually report and provide proof of an external evaluation. Membership is mandatory for companies operating in Canada.",The TSM standard is a program that supports mining companies present in Canada to manage key environmental and social risks. The standard provides indicators of social and environmental performance that are evaluated and independently validated. Members must annually report and provide proof of an external evaluation.,
WGC Conflict-Free Gold Standard,World Gold Council,2012,Gold,Voluntary Standards,Conformance with the standard is externally assured but is not a prerequisite for WGC membership.,The Standard aims to help gold producers to demonstrate that their gold has been extracted in a manner that does not fuel conflict or the abuse of human rights associated with such conflicts by operationalising the OECD guidance at the level of mines. Conformance with the standard is externally assured and is not a prerequisite for WGC membership.,
